date,dategroup,time,hive,,solar radiation(1min mean)(1/2hr),solar radiation (mean)(6:00~16:00),wind speed(1min mean)(1/2hr),temperature(1min mean)(1/2hr),precipitation(mm)(1min mean)(1/2hr),outdoor temperature,indoor temperature (top),indoor temperature (mid),heat up,heating level,weather,opening,note,weight of pollen (g),weight of pollen (1hr),number of bees,average weight of pollen (mg),outlier,remove16,number of pollen,size of pollen,,,,,??????,weight_r,number_r,weight_1,number_1,weight_2,number_2,weight_3,number_3,weight_4,number_4,weight_5,number_5,weight_6,number_6,weight_7,number_7,weight_8,number_8,weight_9,number_9,weight_10,number_10,weight_11,number_11,weight_12,number_12,weight_13,number_13,weight_14,number_14,weight_15,number_15,weight_16,number_16,weight_17,number_17,weight_18,number_18,weight_19,number_19,weight_20,number_20,weight_21,number_21,weight_22,number_22,weight_23,number_23,weight_24,number_24,weight_25,number_25,weight_26,number_26,weight_27,number_27,weight_28,number_28,weight_29,number_29,weight_30,number_30,weight_31,number_31,weight_32,number_32,weight_33,number_33,weight_34,number_34,weight_35,number_35,weight_36,number_36,weight_37,number_37,weight_38,number_38,weight_39,number_39,weight_40,number_40,weight_41,number_41,weight_42,number_42,weight_43,number_43,weight_44,number_44,weight_45,number_45,weight_46,number_46,weight_47,number_47,weight_48,number_48,weight_49,number_49,weight_50,number_50,weight_51,number_51,weight_52,number_52,weight_53,number_53,weight_54,number_54,weight_56,number_56,weight_57,number_57,weight_58,number_58,weight_60,number_60,weight_61,number_61,weight_62,number_62,weight_63,number_63,weight_64,number_64,weight_66,number_66,weight_67,number_67,weight_68,number_68,weight_69,number_69,weight_70,number_70,weight_71,number_71,weight_72,number_72,weight_73,number_73,weight_74,number_74,weight_75,number_75
2020/9/17,,16:00,B,,5.11,29.36,0.76,31.62,0,34.68,36.25,,0, ,sunny,,,0.7801,0.46806,7489,0.06249967,V,V,,,,1.8924,1.1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,06:00,A,,2.09,24.84,0.41,26.24,0,28.16,29.6,,0, ,,,,1.4116,2.1174,6535,0.32402571,,,,,,3.6441,2.2325,,???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,06:00,B,,2.09,24.84,0.41,26.24,0,28.66,30.43,,0, ,,,,1.6536,2.4804,7332,0.33828249,,,,,,3.8991,2.2455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,07:00,A,,6.73,24.84,0.57,27.77,0,30.71,30.54,,0, ,,,,0.5353,0.80295,6535,0.12287543,,,,,,1.6401,1.1048,,,0.0112,3,,,0.0393,8,0.0755,22,,,0.0412,11,0.003,1,0.0694,15,0.0715,15,0.0272,5,,,,,,,0.0028,2,0.0035,1,0.0197,4,0.0029,1,,,0.0463,12,0.0057,1,0.0083,3,0.0156,6,,,,,,,0.0138,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,07:00,B,,6.73,24.84,0.57,27.77,0,30.93,31.41,,0, ,,,,0.8566,1.2849,7332,0.17523753,,,,,,1.9802,1.1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,08:00,A,,28.8,24.84,0.53,31.01,0,32.98,32.16,,0, ,,,,0.4781,0.71715,6535,0.10974546,,,,,,1.5956,1.1175,,,,,,,,,0.0051,2,,,0.0118,3,,,0.0464,13,0.2097,33,0.0153,3,0.0592,19,,,,,0.0195,4,0.0056,1,0.0139,2,0.012,3,,,0.0298,5,,,,,0.0065,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,08:00,B,,28.8,24.84,0.53,31.01,0,31.77,31.99,,0, ,,,,1.1711,1.75665,7332,0.23957585,,,,,,2.2948,1.1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,09:00,A,,39,24.84,0.57,33.03,0,34,33.77,,0, ,,,,0.3988,0.5982,6535,0.09154254,,,,,,1.5243,1.1255,,,,,,,0.004,1,,,,,,,,,0.0448,10,0.228,43,0.0263,5,0.0259,11,,,,,0.0088,2,,,,,0.0224,5,,,0.0047,1,,,,,0.0086,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,09:00,B,,39,24.84,0.57,33.03,0,33.1,33.16,,0, ,,,,1.2753,1.91295,7332,0.26089239,,,,,,2.3947,1.1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,10:00,A,,45.86,24.84,0.91,34.46,0,34.73,34.7,,0, ,,,,1.2253,0.73518,6535,0.11250459,,,,,,2.3367,1.1114,,,,,0.0183,2,,,,,,,,,,,0.0684,15,0.8454,158,0.0653,10,0.0944,28,0.0559,15,,,0.0051,1,0.0114,3,,,0.0239,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,10:00,B,,45.86,24.84,0.91,34.46,0,37.25,35.25,,0, ,,,,1.9507,1.17042,7332,0.15962449,,,,,,4.1731,2.2224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,12:00,A,,37.3,24.84,1.26,33.71,0,35.35,35.1,,0, ,,,,0.2548,0.15288,6535,0.02339523,,,,,,1.3659,1.1111,,,,,,,,,,,,,,,,,0.0037,1,0.1341,26,0.0682,8,0.0123,4,0.0211,5,,,,,0.0055,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,12:00,B,,37.3,24.84,1.26,33.71,0,35.53,36.05,,0, ,,,,0.8177,0.49062,7332,0.06691185,,,,,,1.9463,1.1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,14:00,A,,5.02,24.84,0.87,30.18,0,33.24,34.51,,0, ,rainy,,,0.1524,0.09144,6535,0.01399306,,,,,,1.2651,1.1127,,,,,0.0023,2,,,,,,,,,,,,,,,0.0231,2,0.1005,35,,,,,,,,,,,,,0.0183,3,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/9/18,,14:00,B,,5.02,24.84,0.87,30.18,0,33.35,35.19,,0, ,rainy,,,0.1373,0.08238,7332,0.01123517,,,,,,1.2505,1.1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
